Device: USB-2408-2AO
Serial Number: 1C3CD1D
Channel Count: 2
Sample Count: 403
Start Time: 4/26/2023 4:48:56 PM
Scan Rate: 0.200000002980232
Sample,Time (s),CH0 (°C),CH1 (°C)
364,1819,25.675,23.681
365,1824,25.659,23.695
366,1829,25.642,23.677
367,1834,25.633,23.689
368,1839,25.629,23.691
369,1844,25.624,23.688
370,1849,25.630,23.682
371,1854,25.621,23.696
372,1859,25.609,23.701
373,1864,25.600,23.705
374,1869,25.592,23.690
375,1874,25.573,23.680
376,1879,25.559,23.685
377,1884,25.522,23.677
378,1889,25.499,23.668
379,1894,25.474,23.668
380,1899,25.458,23.666
381,1904,25.454,23.671
382,1909,25.433,23.672
383,1914,25.425,23.686
384,1919,25.358,23.621
385,1924,25.350,23.634
386,1929,25.392,23.680
387,1934,25.373,23.675
388,1939,25.339,23.670
389,1944,25.308,23.656
390,1949,25.285,23.649
391,1954,25.274,23.650
392,1959,25.257,23.662
393,1964,25.232,23.650
394,1969,25.194,23.634
395,1974,25.172,23.644
396,1979,25.151,23.634
397,1984,25.145,23.637
398,1989,25.137,23.633
399,1994,25.120,23.629
400,1999,25.115,23.635
401,2004,25.102,23.628
402,2009,25.075,23.628
